company_id,company_name,company_tier,avg_package_lpa,max_package_lpa,min_cgpa,allowed_departments,required_skills,max_backlogs,backlogs_allowed,hiring_roles_description,round1_name,round1_duration_min,round1_focus,round2_name,round2_duration_min,round2_focus,round3_name,round3_duration_min,round3_focus,round4_name,round4_duration_min,round4_focus,prep_dsa_topics,prep_system_design_topics,prep_oops_topics,prep_dbms_topics,prep_hr_topics
1,Amazon,Tier-1 Product,18.0,55,7.5,"CS, IT, AI, DS","DSA, System Design, OOPS, DBMS, Projects",0,false,"SDE roles, strong DSA & system design required",Online Assessment,90,DSA,Technical Interview 1,45,"DSA,OOPS",Technical Interview 2,45,"System Design,DBMS",HR Round,30,HR,"Arrays,Strings,Trees,Graphs,DP","HLD,LLD,Scalability",OOPS Concepts,"Indexes,Transactions",Behavioral
2,Google,Tier-1 Product,22.0,55,8.0,"CS, IT, AI, DS","DSA, Algorithms, System Design, OS, DBMS",0,false,Top-tier coding & problem solving skills,Online Assessment,90,DSA,Technical Interview 1,45,"DSA,OOPS",Technical Interview 2,45,"System Design,DBMS",HR Round,30,HR,"Arrays,Graphs,Trees,DP",Distributed Systems,OOPS,"Normalization,SQL",Googliness
3,Microsoft,Tier-1 Product,16.0,50,7.0,"CS, IT, AI, DS","DSA, OOPS, System Design, Projects",0,false,Strong coding and design skills,Online Test,90,DSA,Technical Interview,60,"DSA,System Design",HR Round,30,HR,,,,"Arrays,Trees,Graphs",System Design,OOPS,DBMS,HR
4,Flipkart,Tier-1 Product,14.0,45,7.0,"CS, IT","DSA, Backend, APIs, Projects",0,false,Backend and system design focused,Online Test,90,DSA,Technical Interview,60,"Backend,DSA",HR Round,30,HR,,,,"Arrays,Hashing","APIs,Scalability",OOPS,SQL,HR
5,Walmart Global Tech,Tier-1 Product,15.0,48,7.2,"CS, IT","DSA, System Design, Databases",0,false,Product engineering roles,Online Assessment,90,DSA,Technical Interview,60,"System Design,DSA",HR Round,30,HR,,,,DSA Basics,System Design,OOPS,DBMS,HR
6,Adobe,Tier-1 Product,13.0,42,7.0,"CS, IT","DSA, OOPS, C++, Java",0,false,Software engineering roles,Online Test,90,DSA,Technical Interview,60,"OOPS,DSA",HR Round,30,HR,,,,"Arrays,Strings",Design Patterns,OOPS,DBMS,HR
7,Atlassian,Tier-1 Product,17.0,50,7.5,"CS, IT","DSA, System Design, Cloud",0,false,High-end product engineering,Online Assessment,90,DSA,Technical Interview,60,"System Design,DSA",HR Round,30,HR,,,,"Graphs,DP",Distributed Systems,OOPS,DBMS,HR
8,Oracle,Tier-1 Product,12.0,38,6.8,"CS, IT","DSA, Databases, Java",0,false,Database and backend roles,Online Test,90,DSA,Technical Interview,60,"DBMS,Java",HR Round,30,HR,,,,Arrays,Database Design,OOPS,SQL,HR
9,Paytm,Tier-1 Product,10.0,35,6.5,"CS, IT","DSA, APIs, Backend, Projects",0,false,Fintech engineering roles,Online Assessment,90,DSA,Technical Interview,60,"Backend,APIs",HR Round,30,HR,,,,DSA,Backend Systems,OOPS,DBMS,HR
10,Zomato,Tier-1 Product,9.0,32,6.5,"CS, IT","DSA, Backend, System Design",0,false,Tech product roles,Online Test,90,DSA,Technical Interview,60,System Design,HR Round,30,HR,,,,DSA,Scalability,OOPS,DBMS,HR
11,IBM,Tier-2 Hybrid,7.5,20,6.0,"CS, IT, ECE","DSA, DBMS, OS, OOPS",1,true,Software and consulting roles,Online Test,90,"Aptitude,DSA",Technical Interview,45,"OOPS,DBMS",HR Round,30,HR,,,,"Arrays,Basics",System Basics,OOPS,DBMS,HR
12,Accenture,Tier-2 Hybrid,6.5,18,6.0,"CS, IT, ECE","Aptitude, DSA, Communication",1,true,Tech + consulting roles,Aptitude Test,90,Aptitude,Technical Interview,45,"Basics,OOPS",HR Round,30,HR,,,,Basic DSA,NA,OOPS Basics,NA,HR
13,Cognizant,Tier-2 Hybrid,6.0,16,6.0,"CS, IT, ECE","Aptitude, Basic Coding, DBMS",1,true,Service + development roles,Aptitude Test,90,Aptitude,Technical Interview,45,"Basics,DBMS",HR Round,30,HR,,,,Basic Arrays,NA,OOPS Basics,DBMS,HR
14,Capgemini,Tier-2 Hybrid,5.8,15,6.0,"CS, IT, ECE","Aptitude, OOPS, SQL",1,true,Service and support roles,Aptitude Test,90,Aptitude,Technical Interview,45,"OOPS,SQL",HR Round,30,HR,,,,Basic DSA,NA,OOPS,SQL,HR
15,Persistent Systems,Tier-2 Hybrid,8.0,22,6.5,"CS, IT","DSA, Projects, Backend",0,false,Product + service engineering roles,Online Test,90,DSA,Technical Interview,60,"Backend,DSA",HR Round,30,HR,,,,"Arrays,Projects",Backend Design,OOPS,DBMS,HR
16,TCS,Tier-3 Service,4.5,10,5.5,"CS, IT, ECE, EE","Aptitude, Basic Coding, Communication",2,true,"Mass hiring, service roles",Aptitude Test,90,Aptitude,Technical Interview,45,"Basics,OOPS",HR Round,30,HR,,,,Basic Arrays,NA,OOPS Basics,NA,HR
17,Infosys,Tier-3 Service,4.8,12,5.5,"CS, IT, ECE, EE","Aptitude, DSA Basics, English",2,true,Service and support roles,Aptitude Test,90,Aptitude,Technical Interview,45,DSA Basics,HR Round,30,HR,,,,Basic DSA,NA,OOPS Basics,NA,HR
18,Wipro,Tier-3 Service,4.2,9,5.5,"CS, IT, ECE, EE","Aptitude, Basic Programming",2,true,IT service roles,Aptitude Test,90,Aptitude,Technical Interview,45,Basics,HR Round,30,HR,,,,Basics,NA,OOPS Basics,NA,HR
19,HCL,Tier-3 Service,4.0,8,5.5,"CS, IT, ECE, EE","Aptitude, Basic Coding",2,true,Support and service roles,Aptitude Test,90,Aptitude,Technical Interview,45,Basics,HR Round,30,HR,,,,Basics,NA,OOPS Basics,NA,HR
20,Tech Mahindra,Tier-3 Service,4.3,9,5.5,"CS, IT, ECE, EE","Aptitude, Communication, Basics",2,true,Telecom & IT service roles,Aptitude Test,90,Aptitude,Technical Interview,45,Basics,HR Round,30,HR,,,,Basics,NA,OOPS Basics,NA,HR
21,Netflix,Tier-1 Product,20.0,55,7.8,"CS, IT","DSA, System Design, Backend, Projects",0,false,Senior software engineering roles,Online Test,90,DSA,Technical Interview,60,"System Design,DSA",HR Round,30,HR,,,,Advanced DSA,Distributed Systems,OOPS,DBMS,HR
22,Uber,Tier-1 Product,18.0,50,7.5,"CS, IT","DSA, Algorithms, Backend, System Design",0,false,Backend and distributed systems,Online Assessment,90,DSA,Technical Interview,60,"System Design,DSA",HR Round,30,HR,,,,"Graphs,DP",Distributed Systems,OOPS,DBMS,HR
23,LinkedIn,Tier-1 Product,17.0,48,7.5,"CS, IT","DSA, System Design, Databases",0,false,Product engineering roles,Online Assessment,90,DSA,Technical Interview,60,System Design,HR Round,30,HR,,,,DSA,System Design,OOPS,DBMS,HR
24,Twitter(X),Tier-1 Product,16.0,45,7.2,"CS, IT","DSA, Backend, APIs",0,false,Platform engineering roles,Online Test,90,DSA,Technical Interview,60,"Backend,APIs",HR Round,30,HR,,,,DSA,Backend Design,OOPS,DBMS,HR
25,SAP Labs,Tier-1 Product,14.0,40,7.0,"CS, IT","DSA, Java, DBMS",0,false,Enterprise software roles,Online Test,90,DSA,Technical Interview,60,"Java,DBMS",HR Round,30,HR,,,,Arrays,System Basics,OOPS,DBMS,HR
26,Bosch,Tier-2 Hybrid,7.0,18,6.2,"CS, IT, ECE","Embedded, C++, OS",1,true,Embedded systems roles,Online Test,90,"C,OS",Technical Interview,45,"Embedded,C++",HR Round,30,HR,,,,Basics,Embedded Design,OOPS,OS,HR
27,Qualcomm,Tier-2 Hybrid,9.0,22,6.8,"CS, IT, ECE","DSA, Embedded, C++",0,false,Chipset and embedded roles,Online Test,90,"C,DSA",Technical Interview,60,"Embedded,C++",HR Round,30,HR,,,,DSA,Embedded Systems,OOPS,OS,HR
28,Intel,Tier-2 Hybrid,10.0,25,7.0,"CS, IT, ECE","DSA, OS, Architecture",0,false,Hardware-software roles,Online Test,90,"C,OS",Technical Interview,60,"Architecture,OS",HR Round,30,HR,,,,DSA,Architecture,OOPS,OS,HR
29,Dell,Tier-2 Hybrid,6.8,16,6.0,"CS, IT, ECE","DSA, Networking",1,true,IT engineering roles,Online Test,90,Aptitude,Technical Interview,45,Networking,HR Round,30,HR,,,,Basics,NA,OOPS,NA,HR
30,HP,Tier-2 Hybrid,6.5,15,6.0,"CS, IT, ECE","DSA, Networking",1,true,IT support and engineering roles,Online Test,90,Aptitude,Technical Interview,45,Networking,HR Round,30,HR,,,,Basics,NA,OOPS,NA,HR
31,L&T Infotech,Tier-2 Hybrid,6.2,14,6.0,"CS, IT, ECE","Aptitude, Coding Basics",1,true,Service engineering roles,Aptitude Test,90,Aptitude,Technical Interview,45,Basics,HR Round,30,HR,,,,Basics,NA,OOPS,NA,HR
32,Mindtree,Tier-2 Hybrid,6.0,13,6.0,"CS, IT, ECE","Aptitude, Coding Basics",1,true,Service roles,Aptitude Test,90,Aptitude,Technical Interview,45,Basics,HR Round,30,HR,,,,Basics,NA,OOPS,NA,HR
33,Mphasis,Tier-2 Hybrid,5.8,12,5.8,"CS, IT, ECE","Aptitude, Coding Basics",1,true,Service roles,Aptitude Test,90,Aptitude,Technical Interview,45,Basics,HR Round,30,HR,,,,Basics,NA,OOPS,NA,HR
34,Hexaware,Tier-2 Hybrid,5.6,11,5.5,"CS, IT, ECE","Aptitude, SQL, Basics",1,true,Service roles,Aptitude Test,90,Aptitude,Technical Interview,45,"SQL,Basics",HR Round,30,HR,,,,Basics,NA,OOPS,SQL,HR
35,KPMG,Tier-2 Hybrid,7.5,20,6.5,"CS, IT","Data, Analytics, SQL",1,true,Consulting and analytics roles,Online Test,90,Aptitude,Technical Interview,45,"SQL,Analytics",HR Round,30,HR,,,,Basics,NA,OOPS,SQL,HR
36,DXC Technology,Tier-3 Service,4.5,9,5.5,"CS, IT, ECE","Aptitude, Basics",2,true,Service roles,Aptitude Test,90,Aptitude,Technical Interview,45,Basics,HR Round,30,HR,,,,Basics,NA,OOPS,NA,HR
37,Birlasoft,Tier-3 Service,4.2,8,5.5,"CS, IT, ECE","Aptitude, Basics",2,true,Service roles,Aptitude Test,90,Aptitude,Technical Interview,45,Basics,HR Round,30,HR,,,,Basics,NA,OOPS,NA,HR
38,Zensar,Tier-3 Service,4.0,7,5.5,"CS, IT, ECE","Aptitude, Basics",2,true,Service roles,Aptitude Test,90,Aptitude,Technical Interview,45,Basics,HR Round,30,HR,,,,Basics,NA,OOPS,NA,HR
39,Cybage,Tier-3 Service,4.3,8,5.5,"CS, IT, ECE","Aptitude, Basics",2,true,Service roles,Aptitude Test,90,Aptitude,Technical Interview,45,Basics,HR Round,30,HR,,,,Basics,NA,OOPS,NA,HR
40,Sopra Steria,Tier-3 Service,4.1,7,5.5,"CS, IT, ECE","Aptitude, Basics",2,true,Service roles,Aptitude Test,90,Aptitude,Technical Interview,45,Basics,HR Round,30,HR,,,,Basics,NA,OOPS,NA,HR
41,Reliance Jio,Tier-3 Service,4.5,9,5.5,"CS, IT, ECE","Networking, Basics",2,true,Telecom IT roles,Aptitude Test,90,Aptitude,Technical Interview,45,Networking,HR Round,30,HR,,,,Basics,NA,OOPS,NA,HR
42,Tata Elxsi,Tier-2 Hybrid,7.2,18,6.5,"CS, IT, ECE","Embedded, DSA",0,false,Embedded and design roles,Online Test,90,"DSA,C",Technical Interview,60,Embedded,HR Round,30,HR,,,,DSA,Embedded Design,OOPS,OS,HR
43,CGI,Tier-3 Service,4.6,9,5.5,"CS, IT, ECE","Aptitude, Basics",2,true,Service roles,Aptitude Test,90,Aptitude,Technical Interview,45,Basics,HR Round,30,HR,,,,Basics,NA,OOPS,NA,HR
44,Nagarro,Tier-2 Hybrid,8.0,20,6.5,"CS, IT","DSA, Projects, Java",0,false,Product + service roles,Online Test,90,DSA,Technical Interview,60,"Java,DSA",HR Round,30,HR,,,,"Arrays,Projects",System Design,OOPS,DBMS,HR
45,EPAM Systems,Tier-2 Hybrid,9.5,24,7.0,"CS, IT","DSA, System Design",0,false,Product engineering roles,Online Test,90,DSA,Technical Interview,60,System Design,HR Round,30,HR,,,,DSA,System Design,OOPS,DBMS,HR
46,Freshworks,Tier-1 Product,12.0,35,6.8,"CS, IT","DSA, Backend, APIs",0,false,SaaS product roles,Online Test,90,DSA,Technical Interview,60,"Backend,APIs",HR Round,30,HR,,,,DSA,SaaS Design,OOPS,DBMS,HR
47,Zoho,Tier-1 Product,10.0,30,6.5,"CS, IT","DSA, Backend, Projects",0,false,Product engineering roles,Online Test,90,DSA,Technical Interview,60,"DSA,OOPS",HR Round,30,HR,,,,"Arrays,Trees",System Design,OOPS,DBMS,HR
48,Ola,Tier-1 Product,11.0,32,6.7,"CS, IT","DSA, Backend, APIs",0,false,Platform engineering roles,Online Test,90,DSA,Technical Interview,60,"Backend,APIs",HR Round,30,HR,,,,DSA,Platform Design,OOPS,DBMS,HR
49,Swiggy,Tier-1 Product,12.0,34,6.8,"CS, IT","DSA, Backend, System Design",0,false,Tech product roles,Online Assessment,90,DSA,Technical Interview 1,45,"DSA,OOPS",Technical Interview 2,45,System Design,HR Round,30,HR,"Arrays,Graphs",System Design,OOPS,DBMS,HR
50,Razorpay,Tier-1 Product,13.0,36,7.0,"CS, IT","DSA, Backend, Fintech",0,false,Fintech engineering roles,Online Test,90,DSA,Technical Interview,60,"Backend,System Design",HR Round,30,HR,,,,DSA,Fintech Systems,OOPS,DBMS,HR
